Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
60.000	67.000	1289.9	0.00077524	-185.23	-180.03	2.2396	1.0911	1.6592	1145.8	-0.037438	0.00060956	0.19665	liquid
61.000	67.000	1285.6	0.00077782	-183.58	-178.37	2.2670	1.0823	1.6610	1141.9	-0.037282	0.00058081	0.19530	liquid
62.000	67.000	1281.3	0.00078043	-181.94	-176.71	2.2940	1.0744	1.6625	1137.3	-0.037140	0.00055397	0.19394	liquid
63.000	67.000	1277.0	0.00078308	-180.29	-175.05	2.3206	1.0673	1.6636	1132.1	-0.037009	0.00052891	0.19259	liquid
64.000	67.000	1272.7	0.00078575	-178.65	-173.38	2.3468	1.0607	1.6645	1126.4	-0.036888	0.00050549	0.19123	liquid
65.000	67.000	1268.3	0.00078845	-177.00	-171.72	2.3726	1.0546	1.6650	1120.3	-0.036774	0.00048360	0.18988	liquid
66.000	67.000	1264.0	0.00079117	-175.35	-170.05	2.3981	1.0488	1.6653	1113.9	-0.036667	0.00046311	0.18852	liquid
67.000	67.000	1259.6	0.00079392	-173.71	-168.39	2.4231	1.0433	1.6655	1107.3	-0.036564	0.00044392	0.18717	liquid
68.000	67.000	1255.2	0.00079669	-172.06	-166.72	2.4478	1.0380	1.6654	1100.4	-0.036463	0.00042594	0.18581	liquid
69.000	67.000	1250.8	0.00079949	-170.41	-165.06	2.4721	1.0329	1.6653	1093.4	-0.036364	0.00040907	0.18446	liquid
70.000	67.000	1246.4	0.00080231	-168.77	-163.39	2.4961	1.0279	1.6650	1086.3	-0.036264	0.00039323	0.18311	liquid
71.000	67.000	1242.0	0.00080516	-167.12	-161.73	2.5197	1.0230	1.6647	1079.1	-0.036163	0.00037834	0.18175	liquid
72.000	67.000	1237.6	0.00080803	-165.48	-160.06	2.5430	1.0183	1.6643	1071.7	-0.036060	0.00036434	0.18040	liquid
73.000	67.000	1233.1	0.00081093	-163.83	-158.40	2.5659	1.0136	1.6639	1064.4	-0.035953	0.00035115	0.17905	liquid
74.000	67.000	1228.7	0.00081386	-162.19	-156.74	2.5885	1.0090	1.6635	1056.9	-0.035842	0.00033872	0.17769	liquid
75.000	67.000	1224.3	0.00081682	-160.54	-155.07	2.6109	1.0044	1.6632	1049.5	-0.035726	0.00032700	0.17634	liquid
