Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
264.00	0.50000	771.20	0.0012967	-566.41	-566.35	-1.5234	1.6993	2.1136	1425.7	-0.045478	0.0028631	0.14385	liquid
265.00	0.50000	770.44	0.0012980	-564.30	-564.23	-1.5154	1.7025	2.1161	1421.2	-0.045407	0.0027867	0.14358	liquid
266.00	0.50000	769.69	0.0012992	-562.18	-562.11	-1.5074	1.7057	2.1186	1416.7	-0.045336	0.0027135	0.14332	liquid
267.00	0.50000	768.94	0.0013005	-560.06	-559.99	-1.4995	1.7089	2.1212	1412.2	-0.045263	0.0026432	0.14306	liquid
268.00	0.50000	768.18	0.0013018	-557.94	-557.87	-1.4916	1.7122	2.1238	1407.8	-0.045190	0.0025758	0.14280	liquid
269.00	0.50000	767.43	0.0013031	-555.81	-555.75	-1.4836	1.7154	2.1264	1403.4	-0.045116	0.0025110	0.14254	liquid
270.00	0.50000	766.68	0.0013043	-553.68	-553.62	-1.4758	1.7187	2.1290	1399.0	-0.045042	0.0024488	0.14228	liquid
271.00	0.50000	765.93	0.0013056	-551.55	-551.49	-1.4679	1.7220	2.1317	1394.6	-0.044966	0.0023889	0.14203	liquid
272.00	0.50000	765.17	0.0013069	-549.42	-549.36	-1.4600	1.7253	2.1344	1390.2	-0.044890	0.0023314	0.14177	liquid
273.00	0.50000	764.42	0.0013082	-547.28	-547.22	-1.4522	1.7286	2.1371	1385.8	-0.044813	0.0022759	0.14151	liquid
274.00	0.50000	763.67	0.0013095	-545.15	-545.08	-1.4444	1.7320	2.1398	1381.5	-0.044735	0.0022225	0.14126	liquid
275.00	0.50000	762.92	0.0013107	-543.01	-542.94	-1.4366	1.7353	2.1426	1377.1	-0.044657	0.0021711	0.14100	liquid
276.00	0.50000	762.18	0.0013120	-540.86	-540.80	-1.4288	1.7387	2.1454	1372.8	-0.044578	0.0021215	0.14075	liquid
277.00	0.50000	761.43	0.0013133	-538.71	-538.65	-1.4210	1.7420	2.1482	1368.5	-0.044498	0.0020737	0.14050	liquid
278.00	0.50000	760.68	0.0013146	-536.57	-536.50	-1.4133	1.7454	2.1510	1364.2	-0.044418	0.0020275	0.14024	liquid
279.00	0.50000	759.93	0.0013159	-534.41	-534.35	-1.4055	1.7488	2.1538	1359.9	-0.044336	0.0019829	0.13999	liquid
280.00	0.50000	759.19	0.0013172	-532.26	-532.19	-1.3978	1.7522	2.1567	1355.7	-0.044255	0.0019399	0.13974	liquid
281.00	0.50000	758.44	0.0013185	-530.10	-530.03	-1.3901	1.7557	2.1596	1351.4	-0.044172	0.0018983	0.13949	liquid
282.00	0.50000	757.69	0.0013198	-527.94	-527.87	-1.3825	1.7591	2.1625	1347.2	-0.044089	0.0018581	0.13924	liquid
283.00	0.50000	756.95	0.0013211	-525.77	-525.71	-1.3748	1.7626	2.1655	1343.0	-0.044005	0.0018192	0.13899	liquid
284.00	0.50000	756.20	0.0013224	-523.61	-523.54	-1.3672	1.7660	2.1684	1338.7	-0.043921	0.0017816	0.13874	liquid
285.00	0.50000	755.46	0.0013237	-521.44	-521.37	-1.3595	1.7695	2.1714	1334.5	-0.043836	0.0017452	0.13849	liquid
286.00	0.50000	754.71	0.0013250	-519.27	-519.20	-1.3519	1.7730	2.1744	1330.4	-0.043750	0.0017099	0.13825	liquid
287.00	0.50000	753.97	0.0013263	-517.09	-517.02	-1.3443	1.7765	2.1774	1326.2	-0.043664	0.0016758	0.13800	liquid
288.00	0.50000	753.22	0.0013276	-514.91	-514.84	-1.3367	1.7800	2.1805	1322.0	-0.043578	0.0016427	0.13775	liquid
289.00	0.50000	752.48	0.0013289	-512.73	-512.66	-1.3292	1.7836	2.1835	1317.9	-0.043490	0.0016106	0.13751	liquid
290.00	0.50000	751.74	0.0013303	-510.54	-510.48	-1.3216	1.7871	2.1866	1313.8	-0.043402	0.0015795	0.13726	liquid
291.00	0.50000	751.00	0.0013316	-508.36	-508.29	-1.3141	1.7906	2.1897	1309.7	-0.043314	0.0015494	0.13702	liquid
292.00	0.50000	750.25	0.0013329	-506.16	-506.10	-1.3066	1.7942	2.1928	1305.6	-0.043225	0.0015201	0.13677	liquid
293.00	0.50000	749.51	0.0013342	-503.97	-503.90	-1.2991	1.7978	2.1959	1301.5	-0.043135	0.0014917	0.13653	liquid
294.00	0.50000	748.77	0.0013355	-501.77	-501.71	-1.2916	1.8013	2.1991	1297.4	-0.043045	0.0014642	0.13629	liquid
295.00	0.50000	748.03	0.0013368	-499.57	-499.51	-1.2841	1.8049	2.2022	1293.3	-0.042954	0.0014374	0.13605	liquid
296.00	0.50000	747.29	0.0013382	-497.37	-497.30	-1.2767	1.8085	2.2054	1289.3	-0.042863	0.0014114	0.13580	liquid
297.00	0.50000	746.55	0.0013395	-495.16	-495.09	-1.2692	1.8121	2.2086	1285.2	-0.042771	0.0013862	0.13556	liquid
298.00	0.50000	745.80	0.0013408	-492.95	-492.88	-1.2618	1.8158	2.2119	1281.2	-0.042679	0.0013616	0.13532	liquid
299.00	0.50000	745.06	0.0013422	-490.74	-490.67	-1.2544	1.8194	2.2151	1277.2	-0.042586	0.0013377	0.13508	liquid
300.00	0.50000	744.32	0.0013435	-488.52	-488.45	-1.2470	1.8230	2.2183	1273.2	-0.042492	0.0013145	0.13484	liquid
301.00	0.50000	743.58	0.0013448	-486.30	-486.23	-1.2396	1.8267	2.2216	1269.2	-0.042398	0.0012919	0.13460	liquid
302.00	0.50000	742.84	0.0013462	-484.08	-484.01	-1.2322	1.8303	2.2249	1265.2	-0.042304	0.0012700	0.13437	liquid
303.00	0.50000	742.10	0.0013475	-481.85	-481.78	-1.2249	1.8340	2.2282	1261.2	-0.042209	0.0012486	0.13413	liquid
304.00	0.50000	741.36	0.0013489	-479.62	-479.55	-1.2175	1.8377	2.2315	1257.2	-0.042114	0.0012277	0.13389	liquid
305.00	0.50000	740.62	0.0013502	-477.39	-477.32	-1.2102	1.8413	2.2348	1253.3	-0.042018	0.0012075	0.13365	liquid
306.00	0.50000	739.88	0.0013516	-475.15	-475.08	-1.2028	1.8450	2.2382	1249.4	-0.041921	0.0011877	0.13342	liquid
307.00	0.50000	739.15	0.0013529	-472.91	-472.84	-1.1955	1.8487	2.2415	1245.4	-0.041825	0.0011685	0.13318	liquid
